Vivienda;Precio;Numero habitaciones;Metros cuadrados;Ciudad;Zona;Barrio;Garaje;Descripcion
Piso en camino Viejo de Leganés, Puerta Bonita, Madrid;144000;2 hab.;44 m²;madrid;carabanchel;puerta-bonita;No;Planta 1ª exterior sin ascensor
Piso en Puerta Bonita, Madrid;275000;3 hab.;75 m²;madrid;carabanchel;puerta-bonita;No;Planta 2ª exterior con ascensor
Piso en calle del Datil, Puerta Bonita, Madrid;170000;3 hab.;61 m²;madrid;carabanchel;puerta-bonita;No;Bajo exterior sin ascensor
Piso en calle de Álvarez Abellán, Puerta Bonita, Madrid;199000;3 hab.;63 m²;madrid;carabanchel;puerta-bonita;No;Planta 3ª exterior sin ascensor
Piso en calle de Belzunegui, Puerta Bonita, Madrid;145000;2 hab.;65 m²;madrid;carabanchel;puerta-bonita;No;Bajo exterior sin ascensor
Piso en calle del Diario la Nación, 19, Puerta Bonita, Madrid;172000;1 hab.;70 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Planta 1ª interior con ascensor
Piso en calle Domingo Alboraya, 4, Puerta Bonita, Madrid;319000;2 hab.;105 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Planta 2ª exterior con ascensor
Piso en plaza de Anocibar, Puerta Bonita, Madrid;131100;3 hab.;95 m²;madrid;carabanchel;puerta-bonita;No;Planta 2ª con ascensor
Piso en calle de Alejandro Morán, Puerta Bonita, Madrid;159990;2 hab.;70 m²;madrid;carabanchel;puerta-bonita;No;Bajo exterior sin ascensor
Piso en calle de Álvarez Abellán, Puerta Bonita, Madrid;159900;3 hab.;62 m²;madrid;carabanchel;puerta-bonita;No;Bajo exterior sin ascensor
Piso en calle de Barbate, Puerta Bonita, Madrid;151000;3 hab.;69 m²;madrid;carabanchel;puerta-bonita;No;Planta 2ª exterior sin ascensor
Piso en calle de Alejandro Morán, Puerta Bonita, Madrid;380000;4 hab.;115 m²;madrid;carabanchel;puerta-bonita;No;Planta 3ª exterior con ascensor
Piso en avenida de Nuestra Señora de Fátima, Vista Alegre, Madrid;295000;4 hab.;92 m²;madrid;carabanchel;vista-alegre;Garaje opc. 14.000 €;Bajo exterior con ascensor
Piso en calle Guabairo, Vista Alegre, Madrid;240000;2 hab.;74 m²;madrid;carabanchel;vista-alegre;No;Planta 3ª exterior sin ascensor
Piso en calle del General Ricardos, Vista Alegre, Madrid;329000;5 hab.;130 m²;madrid;carabanchel;vista-alegre;No;Planta 4ª exterior con ascensor
Ático en calle Batalla de Torrijos, Vista Alegre, Madrid;225000;4 hab.;90 m²;madrid;carabanchel;vista-alegre;No;Planta 5ª exterior sin ascensor
