Municipios (con más de 50.000 habitantes) y capitales de provincia;Tamaño del hogar;Superficia de la vivienda;Total
19130 Guadalajara;3 personas;Total (superficie útil);6.919
19130 Guadalajara;4 personas;Total (superficie útil);5.722
19130 Guadalajara;5 o más personas;Total (superficie útil);2.570
20045 Irun;Total (tamaño del hogar);Total (superficie útil);25.411
20045 Irun;1 persona;Total (superficie útil);6.798
20045 Irun;2 personas;Total (superficie útil);7.918
20045 Irun;3 personas;Total (superficie útil);5.160
20045 Irun;4 personas;Total (superficie útil);4.072
20045 Irun;5 o más personas;Total (superficie útil);1.463
20069 Donostia/San Sebastián;Total (tamaño del hogar);Total (superficie útil);79.333
20069 Donostia/San Sebastián;1 persona;Total (superficie útil);24.864
20069 Donostia/San Sebastián;2 personas;Total (superficie útil);24.600
20069 Donostia/San Sebastián;3 personas;Total (superficie útil);14.323
20069 Donostia/San Sebastián;4 personas;Total (superficie útil);11.573
20069 Donostia/San Sebastián;5 o más personas;Total (superficie útil);3.973
21041 Huelva;Total (tamaño del hogar);Total (superficie útil);55.813
21041 Huelva;1 persona;Total (superficie útil);14.512
21041 Huelva;2 personas;Total (superficie útil);15.325
21041 Huelva;3 personas;Total (superficie útil);12.125
21041 Huelva;4 personas;Total (superficie útil);10.329
21041 Huelva;5 o más personas;Total (superficie útil);3.522
22125 Huesca;Total (tamaño del hogar);Total (superficie útil);21.830
22125 Huesca;1 persona;Total (superficie útil);6.541
22125 Huesca;2 personas;Total (superficie útil);6.282
22125 Huesca;3 personas;Total (superficie útil);4.584
22125 Huesca;4 personas;Total (superficie útil);3.120
22125 Huesca;5 o más personas;Total (superficie útil);1.303
23050 Jaén;Total (tamaño del hogar);Total (superficie útil);43.149
23050 Jaén;1 persona;Total (superficie útil);11.249
23050 Jaén;2 personas;Total (superficie útil);11.274
23050 Jaén;3 personas;Total (superficie útil);8.877
23050 Jaén;4 personas;Total (superficie útil);8.814
23050 Jaén;5 o más personas;Total (superficie útil);2.935
23055 Linares;Total (tamaño del hogar);Total (superficie útil);21.526
23055 Linares;1 persona;Total (superficie útil);5.285
23055 Linares;2 personas;Total (superficie útil);5.932
23055 Linares;3 personas;Total (superficie útil);4.713
23055 Linares;4 personas;Total (superficie útil);4.128
23055 Linares;5 o más personas;Total (superficie útil);1.468
24089 León;Total (tamaño del hogar);Total (superficie útil);55.185
24089 León;1 persona;Total (superficie útil);19.573
24089 León;2 personas;Total (superficie útil);16.534
24089 León;3 personas;Total (superficie útil);10.523
24089 León;4 personas;Total (superficie útil);6.355
24089 León;5 o más personas;Total (superficie útil);2.200
24115 Ponferrada;Total (tamaño del hogar);Total (superficie útil);27.569
24115 Ponferrada;1 persona;Total (superficie útil);8.592
24115 Ponferrada;2 personas;Total (superficie útil);8.373
24115 Ponferrada;3 personas;Total (superficie útil);5.891
24115 Ponferrada;4 personas;Total (superficie útil);3.590
24115 Ponferrada;5 o más personas;Total (superficie útil);1.123
25120 Lleida;Total (tamaño del hogar);Total (superficie útil);54.542
25120 Lleida;1 persona;Total (superficie útil);15.147
25120 Lleida;2 personas;Total (superficie útil);15.629
25120 Lleida;3 personas;Total (superficie útil);11.225
25120 Lleida;4 personas;Total (superficie útil);8.308
25120 Lleida;5 o más personas;Total (superficie útil);4.233
26089 Logroño;Total (tamaño del hogar);Total (superficie útil);62.937
26089 Logroño;1 persona;Total (superficie útil);19.265
26089 Logroño;2 personas;Total (superficie útil);18.444
26089 Logroño;3 personas;Total (superficie útil);12.474
26089 Logroño;4 personas;Total (superficie útil);9.415
26089 Logroño;5 o más personas;Total (superficie útil);3.339
27028 Lugo;Total (tamaño del hogar);Total (superficie útil);41.300
27028 Lugo;1 persona;Total (superficie útil);12.724
27028 Lugo;2 personas;Total (superficie útil);11.995
27028 Lugo;3 personas;Total (superficie útil);9.004
27028 Lugo;4 personas;Total (superficie útil);5.642
27028 Lugo;5 o más personas;Total (superficie útil);1.935
28005 Alcalá de Henares;Total (tamaño del hogar);Total (superficie útil);72.991
28005 Alcalá de Henares;1 persona;Total (superficie útil);15.438
28005 Alcalá de Henares;2 personas;Total (superficie útil);21.433
28005 Alcalá de Henares;3 personas;Total (superficie útil);16.736
28005 Alcalá de Henares;4 personas;Total (superficie útil);13.935
28005 Alcalá de Henares;5 o más personas;Total (superficie útil);5.449
28006 Alcobendas;Total (tamaño del hogar);Total (superficie útil);40.084
28006 Alcobendas;1 persona;Total (superficie útil);7.437
28006 Alcobendas;2 personas;Total (superficie útil);10.677
