Municipios (con más de 50.000 habitantes) y capitales de provincia;Tipo de vivienda (principal o no);Año de construcción del edificio;Total
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;Antes de 1900;18
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;De 1900 a 1920;192
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;De 1921 a 1940;144
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;De 1941 a 1950;261
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;De 1951 a 1960;561
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;De 1961 a 1970;2.177
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;De 1971 a 1980;3.038
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;De 1981 a 1990;2.609
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;De 1991 a 2000;4.443
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;De 2001 a 2010;7.850
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;De 2011 a 2020;310
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda principal;No consta;118
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;Total;5.430
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;Antes de 1900;21
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;De 1900 a 1920;164
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;De 1921 a 1940;99
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;De 1941 a 1950;118
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;De 1951 a 1960;230
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;De 1961 a 1970;819
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;De 1971 a 1980;903
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;De 1981 a 1990;719
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;De 1991 a 2000;793
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;De 2001 a 2010;1.438
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;De 2011 a 2020;97
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Vivienda no principal;No consta;29
03133 Torrevieja;Total;Total;122.736
03133 Torrevieja;Total;Antes de 1900;4
03133 Torrevieja;Total;De 1900 a 1920;43
03133 Torrevieja;Total;De 1921 a 1940;50
03133 Torrevieja;Total;De 1941 a 1950;68
03133 Torrevieja;Total;De 1951 a 1960;333
03133 Torrevieja;Total;De 1961 a 1970;1.646
03133 Torrevieja;Total;De 1971 a 1980;11.411
03133 Torrevieja;Total;De 1981 a 1990;33.939
03133 Torrevieja;Total;De 1991 a 2000;41.561
03133 Torrevieja;Total;De 2001 a 2010;28.409
03133 Torrevieja;Total;De 2011 a 2020;4.684
03133 Torrevieja;Total;No consta;588
03133 Torrevieja;Vivienda principal;Total;36.829
03133 Torrevieja;Vivienda principal;Antes de 1900;2
03133 Torrevieja;Vivienda principal;De 1900 a 1920;12
